iter	Passed	Remaining
<<<<<<< Updated upstream
0	6	1876
1	10	1494
2	13	1314
3	17	1266
4	22	1353
5	26	1299
6	30	1296
7	35	1292
8	41	1331
9	44	1304
10	50	1321
11	55	1339
12	59	1310
13	62	1286
14	68	1297
15	73	1299
16	78	1314
17	84	1317
18	88	1311
19	93	1308
20	98	1311
21	102	1300
22	107	1298
23	112	1299
24	117	1292
25	121	1284
26	127	1289
27	132	1288
28	137	1289
29	142	1281
30	147	1277
31	151	1270
32	156	1264
33	161	1260
34	165	1253
35	170	1247
36	173	1232
37	178	1233
38	183	1229
39	188	1225
40	193	1222
41	198	1218
42	203	1214
43	208	1210
44	213	1208
45	218	1204
46	223	1203
47	229	1207
48	234	1201
49	239	1198
50	245	1196
51	249	1190
52	254	1183
53	259	1183
54	264	1177
55	268	1170
56	273	1166
57	278	1160
58	282	1152
59	286	1147
60	291	1142
61	296	1136
62	300	1131
63	305	1127
64	310	1122
65	314	1115
66	319	1111
67	325	1109
68	329	1101
69	333	1096
70	338	1093
71	343	1089
72	348	1084
73	353	1080
74	358	1075
75	362	1069
76	367	1063
77	372	1059
78	377	1054
79	380	1047
80	385	1043
81	390	1037
82	394	1032
83	399	1026
84	404	1023
85	409	1019
86	414	1014
87	419	1010
88	424	1007
89	429	1001
90	434	998
91	440	995
92	445	990
93	450	986
94	454	980
95	458	974
96	462	968
97	467	964
98	472	959
99	477	955
100	483	951
101	487	946
102	492	941
103	498	939
104	503	935
105	508	931
106	514	928
107	520	926
108	526	923
109	532	919
110	536	914
111	541	909
112	547	905
113	551	900
114	556	895
115	562	891
116	566	886
117	571	881
118	576	876
119	581	871
120	586	867
121	590	862
122	595	857
123	600	852
124	606	848
125	611	843
126	615	838
127	621	834
128	625	829
129	630	825
130	635	819
131	639	814
132	644	809
133	649	804
134	653	799
135	657	793
136	662	788
137	667	783
138	672	778
139	676	773
140	681	768
141	685	762
142	689	757
143	694	752
144	698	747
145	703	741
146	707	736
147	712	731
148	716	726
149	720	720
150	726	716
151	730	711
152	735	706
153	739	701
154	744	696
155	749	691
156	753	686
157	758	681
158	763	676
159	767	671
160	772	667
161	777	662
162	781	656
163	786	652
164	792	648
165	796	643
166	801	638
167	806	633
168	811	628
169	815	623
170	819	618
171	824	613
172	828	608
173	834	604
174	840	600
175	845	595
176	850	590
177	855	586
178	860	581
179	865	576
180	870	571
181	874	567
182	879	562
183	883	556
184	888	552
185	892	547
186	897	542
187	901	537
188	906	532
189	910	527
190	915	522
191	920	518
192	925	513
193	930	508
194	934	503
195	939	498
196	943	493
197	948	488
198	953	483
199	957	478
200	962	473
201	967	469
202	971	464
203	976	459
204	981	454
205	986	450
206	991	445
207	995	440
208	1000	435
209	1005	430
210	1009	425
211	1014	421
212	1019	416
213	1023	411
214	1028	406
215	1033	401
216	1037	396
217	1042	392
218	1047	387
219	1051	382
220	1057	377
221	1061	372
222	1066	368
223	1071	363
224	1075	358
225	1081	353
226	1085	349
227	1090	344
228	1094	339
229	1099	334
230	1104	329
231	1108	324
232	1113	320
233	1117	315
234	1121	310
235	1125	305
236	1131	300
237	1135	295
238	1139	290
239	1145	286
240	1150	281
241	1154	276
242	1158	271
243	1163	267
244	1168	262
245	1172	257
246	1177	252
247	1182	247
248	1186	242
249	1190	238
250	1195	233
251	1200	228
252	1204	223
253	1208	218
254	1213	214
255	1218	209
256	1222	204
257	1227	199
258	1231	195
259	1236	190
260	1240	185
261	1245	180
262	1249	175
263	1254	171
264	1259	166
265	1263	161
266	1268	156
267	1272	151
268	1277	147
269	1282	142
270	1286	137
271	1292	133
272	1296	128
273	1300	123
274	1305	118
275	1310	113
276	1315	109
277	1320	104
278	1325	99
279	1330	95
280	1334	90
281	1339	85
282	1343	80
283	1348	75
284	1352	71
285	1357	66
286	1361	61
287	1366	56
288	1370	52
289	1376	47
290	1380	42
291	1385	37
292	1390	33
293	1394	28
294	1398	23
295	1403	18
